campaign_id,campaign_name,campaign_type,start_date,end_date,budget,spent_amount,impressions,clicks,conversions,campaign_status,target_audience
1,Year End Search Push 2023,Search,2026-02-18,2026-05-14,85391.03,0.0,0.0,0.0,0.0,Planned,Budget Conscious
2,Product Showcase Social 2024,Social Media,2025-12-05,2026-03-19,50261.07,9749.31,591896.0,6191.0,268.0,Paused,Loyalty Members
3,Limited Time Offer SMS 2024,SMS,2025-05-02,2025-06-18,1529.97,1458.67,223600.0,22499.0,2185.0,Completed,"Weekend Browsers, First-Time Buyers, Returning Customers"
4,Product Category Search 2023,Search,2025-07-19,2025-10-13,46407.45,48075.35,8809610.0,278308.0,11747.0,Completed,"Email Engaged, VIP Customers"
5,Community Engagement 2024,Social Media,2025-08-28,2025-10-27,76435.87,72530.59,13728130.0,74335.0,2484.0,Completed,"High LTV Customers, Cart Abandoners, Holiday Shoppers"
6,Labor Day Social Campaign 2025,Social Media,2025-03-06,2025-04-23,82942.74,69696.24,4034860.0,79954.0,874.0,Completed,Premium Shoppers
7,Product Category Search 2025,Search,2026-02-04,2026-02-26,51744.58,0.0,0.0,0.0,0.0,Planned,"Frequent Buyers, Parents"
8,Programmatic Display 2023,Display,2025-02-27,2025-04-10,25502.04,25363.97,3192876.0,12868.0,224.0,Completed,"First-Time Buyers, Premium Shoppers"
9,Product Display Ads 2024,Display,2025-11-12,2026-01-27,85183.4,43634.33,3144777.0,12861.0,317.0,Active,"Gen Z 18-24, Email Engaged"
10,Q3 Newsletter Campaign 2025,Email,2025-12-08,2026-01-23,5754.78,1946.66,171720.0,12050.0,136.0,Active,"Budget Conscious, Premium Shoppers, New Customers"
11,Social Proof Campaign 2025,Social Media,2025-02-11,2025-05-03,78789.2,68687.15,4049171.0,115560.0,3382.0,Completed,Gen Z 18-24
12,Product Showcase Social 2023,Social Media,2025-06-11,2025-07-07,4882.68,4304.88,607306.0,17643.0,122.0,Completed,"Email Engaged, First-Time Buyers"
13,Product Showcase Social 2025,Social Media,2025-10-29,2026-02-06,91925.07,51526.74,5926115.0,57448.0,2644.0,Paused,Parents
14,Product Launch Announcement 2024,Email,2025-09-07,2025-10-14,5158.49,5059.7,425851.0,18213.0,1116.0,Completed,High LTV Customers
15,Cross-Network Display 2024,Display,2025-11-04,2026-01-15,77359.53,53696.97,3764217.0,13237.0,575.0,Active,"VIP Customers, Homeowners"
16,Abandoned Cart Recovery 2024,Email,2025-11-12,2026-03-11,9784.56,3021.16,156667.0,11535.0,155.0,Paused,"Millennials 25-34, Desktop Users"
17,Labor Day Social Campaign 2024,Social Media,2025-01-21,2025-03-25,11418.29,11826.13,666313.0,15538.0,760.0,Completed,"Millennials 25-34, Cart Abandoners, Gen Z 18-24"
18,Influencer Partnership 2023,Social Media,2025-09-03,2025-09-13,96270.95,2202.97,185812.0,2551.0,116.0,Cancelled,Homeowners
19,Summer Social Push 2025,Social Media,2025-12-10,2026-01-12,59672.02,28297.15,4453188.0,107749.0,2967.0,Paused,"Loyalty Members, Desktop Users"
20,Local Search Campaign 2025,Search,2025-11-17,2026-01-01,26429.35,18594.27,1294466.0,96942.0,8431.0,Paused,High LTV Customers
21,Q3 SMS Blast 2024,SMS,2025-11-19,2026-01-14,6755.31,4033.48,215845.0,21647.0,523.0,Paused,"VIP Customers, Mobile Users"
22,Shopping Ads Campaign 2025,Search,2026-01-17,2026-04-08,50789.1,0.0,0.0,0.0,0.0,Planned,Loyalty Members
23,Birthday Special Campaign 2025,Email,2025-05-04,2025-05-18,9331.79,1263.21,219124.0,12228.0,975.0,Cancelled,"Homeowners, Fashion Forward"
24,Easter Social Campaign 2024,Social Media,2025-08-03,2025-09-10,74538.37,63303.44,4617958.0,137954.0,4874.0,Completed,"Budget Conscious, Holiday Shoppers"
25,Spring Search Campaign 2024,Search,2025-07-09,2025-07-27,26054.31,23564.09,1564531.0,36834.0,2149.0,Completed,"Newsletter Subscribers, Gen Z 18-24, Budget Conscious"
26,Native Advertising 2024,Display,2026-01-25,2026-02-10,22921.24,0.0,0.0,0.0,0.0,Planned,Homeowners
27,Fall Search Campaign 2023,Search,2025-03-13,2025-04-27,78947.44,77640.86,5681398.0,283732.0,16107.0,Completed,"Lapsed Customers, Mobile Users, Weekend Browsers"
28,Winter Search Campaign 2025,Search,2025-08-05,2025-10-02,45264.16,46655.35,5847314.0,263283.0,21531.0,Completed,Desktop Users
29,Streaming TV Ads 2025,Video,2025-07-29,2025-10-15,47295.58,39153.55,2639129.0,38508.0,1058.0,Completed,First-Time Buyers
30,Birthday Special Campaign 2024,Email,2025-02-17,2025-04-23,6012.24,5957.89,794546.0,11610.0,124.0,Completed,"Gen Z 18-24, Cart Abandoners"
31,User Generated Content 2024,Social Media,2025-11-18,2026-01-03,4408.68,3468.22,252850.0,6833.0,244.0,Active,Tech Enthusiasts
32,Flash Sale Alert 2024,Email,2025-11-13,2026-01-13,4760.82,2847.69,172481.0,7331.0,263.0,Active,"Returning Customers, Fashion Forward, High LTV Customers"
33,Local Search Campaign 2023,Search,2025-01-02,2025-01-31,13083.57,12298.37,696648.0,65306.0,1842.0,Completed,"Gen Z 18-24, Newsletter Subscribers"
34,Trending Topic Campaign 2024,Social Media,2025-11-27,2026-03-18,5176.71,1123.67,69277.0,801.0,32.0,Active,"Loyalty Members, High LTV Customers"
35,Q4 Search Campaign 2023,Search,2025-09-06,2025-10-27,54819.96,52080.46,8561338.0,850007.0,61898.0,Completed,"Frequent Buyers, Lapsed Customers"
36,Product Launch Announcement 2023,Email,2025-02-22,2025-03-10,6036.25,5195.28,490464.0,27641.0,1281.0,Completed,Holiday Shoppers
37,Anniversary Mailing 2023,Direct Mail,2025-12-01,2026-01-17,32195.41,16929.46,NaN,NaN,NaN,Active,Premium Shoppers
38,Valentine Email Blast 2023,Email,2025-06-13,2025-09-10,6118.87,5451.18,367396.0,25356.0,893.0,Completed,"Returning Customers, Mobile Users"
39,Dynamic Search Ads 2025,Search,2025-09-12,2025-09-21,97102.55,17737.21,1292646.0,43866.0,3122.0,Cancelled,"Premium Shoppers, Homeowners, Parents"
40,Product Display Ads 2025,Display,2025-11-26,2025-12-26,40358.7,36341.33,3299634.0,21709.0,711.0,Paused,"High LTV Customers, First-Time Buyers"
41,Brand Keywords Campaign 2025,Search,2025-12-17,2026-02-08,17720.02,2508.52,161083.0,13318.0,1257.0,Active,Newsletter Subscribers
