campaign_ref,campaign_title,channel_type,launch_date,completion_date,allocated_budget,current_spend,total_impressions,total_clicks,conversion_count,conversion_rate,ctr_rate,avg_cpc,roi_percentage,campaign_status,target_segment,campaign_manager,ad_platform,test_variant,created_timestamp
1,Year End Search Push 2023,Search,2026-02-18,2026-05-14,85391.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,Budget Conscious,Rachel Green,Google Ads,,2026-01-23T00:00:00Z
2,Product Showcase Social 2024,Social Media,2025-12-05,2026-03-19,50261.07,9749.31,591896.0,6191.0,268.0,4.33,1.05,1.57,,Paused,Loyalty Members,James Miller,Instagram,Variant B,2025-11-06T00:00:00Z
3,Limited Time Offer SMS 2024,SMS,2025-05-02,2025-06-18,1529.97,1458.67,223600.0,22499.0,2185.0,9.71,10.06,0.06,1000.0,Completed,"Weekend Browsers, First-Time Buyers, Returning Customers",Jessica Martinez,,,2025-04-02T00:00:00Z
4,Product Category Search 2023,Search,2025-07-19,2025-10-13,46407.45,48075.35,8809610.0,278308.0,11747.0,4.22,3.16,0.17,1000.0,Completed,"Email Engaged, VIP Customers",Sarah Johnson,Google Ads,,2025-07-12T00:00:00Z
5,Community Engagement 2024,Social Media,2025-08-28,2025-10-27,76435.87,72530.59,13728130.0,74335.0,2484.0,3.34,0.54,0.98,541.21,Completed,"High LTV Customers, Cart Abandoners, Holiday Shoppers",Brian Wilson,Instagram,,2025-08-05T00:00:00Z
6,Labor Day Social Campaign 2025,Social Media,2025-03-06,2025-04-23,82942.74,69696.24,4034860.0,79954.0,874.0,1.09,1.98,0.87,139.48,Completed,Premium Shoppers,Andrew Thompson,Meta Ads,,2025-02-18T00:00:00Z
7,Product Category Search 2025,Search,2026-02-04,2026-02-26,51744.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Frequent Buyers, Parents",James Miller,Google Ads,,2026-01-28T00:00:00Z
8,Programmatic Display 2023,Display,2025-02-27,2025-04-10,25502.04,25363.97,3192876.0,12868.0,224.0,1.74,0.4,1.97,113.5,Completed,"First-Time Buyers, Premium Shoppers",Chris Anderson,Meta Ads,,2025-02-16T00:00:00Z
9,Product Display Ads 2024,Display,2025-11-12,2026-01-27,85183.4,43634.33,3144777.0,12861.0,317.0,2.46,0.41,3.39,-51.89,Active,"Gen Z 18-24, Email Engaged",Stephanie Davis,Google Ads,,2025-10-20T00:00:00Z
10,Q3 Newsletter Campaign 2025,Email,2025-12-08,2026-01-23,5754.78,1946.66,171720.0,12050.0,136.0,1.13,7.02,0.16,583.86,Active,"Budget Conscious, Premium Shoppers, New Customers",Andrew Thompson,,,2025-11-24T00:00:00Z
11,Social Proof Campaign 2025,Social Media,2025-02-11,2025-05-03,78789.2,68687.15,4049171.0,115560.0,3382.0,2.93,2.85,0.59,476.88,Completed,Gen Z 18-24,Amanda Lee,Meta Ads,,2025-01-13T00:00:00Z
12,Product Showcase Social 2023,Social Media,2025-06-11,2025-07-07,4882.68,4304.88,607306.0,17643.0,122.0,0.69,2.91,0.24,206.23,Completed,"Email Engaged, First-Time Buyers",Kevin Brown,LinkedIn,,2025-06-01T00:00:00Z
13,Product Showcase Social 2025,Social Media,2025-10-29,2026-02-06,91925.07,51526.74,5926115.0,57448.0,2644.0,4.6,0.97,0.9,,Paused,Parents,Sarah Johnson,Instagram,,2025-10-04T00:00:00Z
14,Product Launch Announcement 2024,Email,2025-09-07,2025-10-14,5158.49,5059.7,425851.0,18213.0,1116.0,6.13,4.28,0.28,1000.0,Completed,High LTV Customers,Amanda Lee,,,2025-08-20T00:00:00Z
15,Cross-Network Display 2024,Display,2025-11-04,2026-01-15,77359.53,53696.97,3764217.0,13237.0,575.0,4.34,0.35,4.06,146.85,Active,"VIP Customers, Homeowners",Andrew Thompson,Meta Ads,,2025-10-18T00:00:00Z
16,Abandoned Cart Recovery 2024,Email,2025-11-12,2026-03-11,9784.56,3021.16,156667.0,11535.0,155.0,1.34,7.36,0.26,,Paused,"Millennials 25-34, Desktop Users",Nicole Taylor,,,2025-10-22T00:00:00Z
17,Labor Day Social Campaign 2024,Social Media,2025-01-21,2025-03-25,11418.29,11826.13,666313.0,15538.0,760.0,4.89,2.33,0.76,1000.0,Completed,"Millennials 25-34, Cart Abandoners, Gen Z 18-24",Chris Anderson,LinkedIn,,2024-12-27T00:00:00Z
18,Influencer Partnership 2023,Social Media,2025-09-03,2025-09-13,96270.95,2202.97,185812.0,2551.0,116.0,4.55,1.37,0.86,,Cancelled,Homeowners,Brian Wilson,TikTok,,2025-08-20T00:00:00Z
19,Summer Social Push 2025,Social Media,2025-12-10,2026-01-12,59672.02,28297.15,4453188.0,107749.0,2967.0,2.75,2.42,0.26,,Paused,"Loyalty Members, Desktop Users",Stephanie Davis,LinkedIn,,2025-11-27T00:00:00Z
20,Local Search Campaign 2025,Search,2025-11-17,2026-01-01,26429.35,18594.27,1294466.0,96942.0,8431.0,8.7,7.49,0.19,,Paused,High LTV Customers,Stephanie Davis,Google Ads,,2025-11-07T00:00:00Z
