campaign_id,campaign_name,campaign_type,start_date,end_date,budget,spent_amount,impressions,clicks,conversions,target_audience,campaign_status
54,New Customer Welcome Kit 2025,Direct Mail,2025-08-18,2025-08-31,19540.84,2314.34,0,0,0,"Budget Conscious, Newsletter Subscribers",Cancelled
11,Social Proof Campaign 2025,Social Media,2025-02-11,2025-05-03,78789.2,68687.15,4049171,115560,3382,,Completed
69,Spring Newsletter Campaign 2023,Email,2025-01-26,2025-03-09,8344.63,7538.22,675058,23365,1413,"Returning Customers, Mobile Users, Holiday Shoppers",Completed
20,Local Search Campaign 2025,Search,2025-11-17,2026-01-01,26429.35,18594.27,1294466,96942,8431,High LTV Customers,Paused
94,Brand Keywords Campaign 2024,Search,2025-12-04,2026-01-21,94034.85,20898.96,1248897,71616,4530,First-Time Buyers,Active
34,Trending Topic Campaign 2024,Social Media,2025-11-27,2026-01-21,5176.71,1123.67,69277,801,32,"Loyalty Members, High LTV Customers",Active
38,Valentine Email Blast 2023,Email,2025-06-13,2025-09-10,6118.87,5451.18,367396,25356,893,"Returning Customers, Mobile Users",Completed
80,Easter Video Push 2024,Video,2025-02-10,2025-03-04,75634.85,62771.96,4202026,100013,3641,"Lapsed Customers, Desktop Users",Completed
37,Anniversary Mailing 2023,Direct Mail,2025-12-01,2026-01-17,32195.41,16929.46,0,0,0,Premium Shoppers,Active
12,Product Showcase Social 2023,Social Media,2025-06-11,2025-07-07,4882.68,4304.88,607306,17643,122,"Email Engaged, First-Time Buyers",Completed
14,Product Launch Announcement 2024,Email,2025-09-07,2025-10-14,5158.49,5059.7,425851,18213,1116,High LTV Customers,Completed
100,User Generated Content 2025,Social Media,2025-11-12,2026-01-21,43026.04,20152.85,2710633,14956,569,"New Customers, Returning Customers",Active
41,Brand Keywords Campaign 2025,Search,2025-12-17,2026-01-21,17720.02,2508.52,161083,13318,1257,Newsletter Subscribers,Active
95,Spring Catalog Mailing 2023,Direct Mail,2025-11-02,2025-12-29,31312.97,24472.46,0,0,0,Homeowners,Paused
91,Fall Social Push 2023,Social Media,2025-01-20,2025-02-22,63547.52,63708.32,3838307,21498,940,"Parents, Mobile Users",Completed
6,Labor Day Social Campaign 2025,Social Media,2025-03-06,2025-04-23,82942.74,69696.24,4034860,79954,874,Premium Shoppers,Completed
23,Birthday Special Campaign 2025,Email,2025-05-04,2025-05-18,9331.79,1263.21,219124,12228,975,"Homeowners, Fashion Forward",Cancelled
28,Winter Search Campaign 2025,Search,2025-08-05,2025-10-02,45264.16,46655.35,5847314,263283,21531,Desktop Users,Completed
49,Shopping Ads Campaign 2023,Search,2025-06-27,2025-08-08,50607.3,41207.28,4294599,215810,16458,Loyalty Members,Completed
88,Q2 Social Push 2023,Social Media,2025-09-04,2025-12-01,16286.3,15641.68,917175,6021,257,"Newsletter Subscribers, Desktop Users, Parents",Completed
67,High Intent Keywords 2024,Search,2025-04-30,2025-06-01,95396.13,96198.23,6357318,409480,16255,"Email Engaged, Cart Abandoners, Loyalty Members",Completed
24,Easter Social Campaign 2024,Social Media,2025-08-03,2025-09-10,74538.37,63303.44,4617958,137954,4874,"Budget Conscious, Holiday Shoppers",Completed
10,Q3 Newsletter Campaign 2025,Email,2025-12-08,2026-01-21,5754.78,1946.66,171720,12050,136,"Budget Conscious, Premium Shoppers, New Customers",Active
18,Influencer Partnership 2023,Social Media,2025-09-03,2025-09-13,96270.95,2202.97,185812,2551,116,Homeowners,Cancelled
92,Customer Win-Back Email 2025,Email,2025-03-25,2025-04-06,5255.53,464.95,80425,4844,177,"Parents, Homeowners",Cancelled
84,Cross-Network Display 2023,Display,2025-08-17,2025-09-06,24103.69,20026.04,1424368,4188,77,"Holiday Shoppers, Gen Z 18-24",Completed
81,Weekly Deals Newsletter 2025,Email,2025-12-11,2026-01-21,6455.16,1567.49,165890,4645,288,Returning Customers,Active
85,Abandoned Cart Recovery 2023,Email,2025-02-13,2025-03-10,4678.41,4472.6,275316,19066,238,"Returning Customers, Weekend Browsers",Completed
45,Competitor Conquest 2024,Search,2025-03-02,2025-05-11,71404.85,61342.4,7739230,297055,12920,Budget Conscious,Completed
64,YouTube Pre-Roll 2024,Video,2026-01-21,2026-01-21,5213.98,0.0,0,0,0,"New Customers, Tech Enthusiasts, Mobile Users",Planned
42,Cross-Network Display 2025,Display,2025-12-09,2026-01-21,9659.23,1599.02,234535,1728,70,Premium Shoppers,Paused
60,VIP Early Access SMS 2025,SMS,2025-11-26,2026-01-15,8176.84,4175.59,392678,47268,3121,"Email Engaged, Holiday Shoppers, Weekend Browsers",Active
77,Black Friday Email Blast 2024,Email,2025-08-15,2025-09-15,6799.86,5943.92,957788,30429,1019,"High LTV Customers, Homeowners",Completed
22,Shopping Ads Campaign 2025,Search,2026-01-17,2026-01-21,50789.1,0.0,0,0,0,Loyalty Members,Planned
51,Remarketing Search 2023,Search,2025-05-20,2025-06-18,74273.55,63693.56,5482057,138157,8639,Tech Enthusiasts,Completed
87,Restock Alert SMS 2024,SMS,2026-01-21,2026-01-21,654.16,0.0,0,0,0,Lapsed Customers,Planned
98,Black Friday Video Push 2023,Video,2025-06-17,2025-06-30,79701.32,10151.47,947386,11865,155,"Mobile Users, Budget Conscious, First-Time Buyers",Cancelled
76,Q2 Video Campaign 2024,Video,2025-06-23,2025-07-28,46850.79,47697.99,2388577,28072,786,"Returning Customers, Homeowners",Completed
74,Back to School Social Campaign 2025,Social Media,2026-01-17,2026-01-21,93061.76,0.0,0,0,0,Frequent Buyers,Planned
3,Limited Time Offer SMS 2024,SMS,2025-05-02,2025-06-18,1529.97,1458.67,223600,22499,2185,"Weekend Browsers, First-Time Buyers, Returning Customers",Completed
16,Abandoned Cart Recovery 2024,Email,2025-11-12,2026-01-21,9784.56,3021.16,156667,11535,155,"Millennials 25-34, Desktop Users",Paused
31,User Generated Content 2024,Social Media,2025-11-18,2026-01-03,4408.68,3468.22,252850,6833,244,Tech Enthusiasts,Active
66,Labor Day SMS Deals 2024,SMS,2026-01-21,2026-01-21,1235.21,0.0,0,0,0,,Planned
65,Back to School Video Push 2023,Video,2025-11-02,2026-01-21,97828.83,38057.3,2369216,31083,786,"Weekend Browsers, Loyalty Members, Millennials 25-34",Active
26,Native Advertising 2024,Display,2026-01-21,2026-01-21,22921.24,0.0,0,0,0,Homeowners,Planned
57,Short Form Video 2023,Video,2025-12-15,2026-01-14,20963.54,6734.23,802261,6339,147,"Parents, Loyalty Members",Active
52,Brand Awareness Display 2025,Display,2025-04-02,2025-04-16,99725.74,102532.85,5823552,38974,947,"Desktop Users, Lapsed Customers, Returning Customers",Completed
61,Local Search Campaign 2024,Search,2025-11-01,2026-01-21,55598.0,34942.9,6510430,646158,17573,"Mobile Users, Desktop Users",Active
25,Spring Search Campaign 2024,Search,2025-07-09,2025-07-27,26054.31,23564.09,1564531,36834,2149,"Newsletter Subscribers, Gen Z 18-24, Budget Conscious",Completed
68,Summer Newsletter Campaign 2025,Email,2025-12-28,2026-01-12,6837.72,571.01,41189,2602,122,Holiday Shoppers,Cancelled
55,Competitor Conquest 2025,Search,2025-12-10,2026-01-21,8728.73,2382.91,249223,15475,364,"VIP Customers, Millennials 25-34",Active
53,Q2 Social Push 2024,Social Media,2025-09-10,2025-11-16,77757.4,63231.02,6720367,71768,832,Mobile Users,Completed
2,Product Showcase Social 2024,Social Media,2025-12-05,2026-01-21,50261.07,9749.31,591896,6191,268,Loyalty Members,Paused
32,Flash Sale Alert 2024,Email,2025-11-13,2026-01-13,4760.82,2847.69,172481,7331,263,"Returning Customers, Fashion Forward, High LTV Customers",Active
5,Community Engagement 2024,Social Media,2025-08-28,2025-10-27,76435.87,72530.59,13728130,74335,2484,"High LTV Customers, Cart Abandoners, Holiday Shoppers",Completed
33,Local Search Campaign 2023,Search,2025-01-02,2025-01-31,13083.57,12298.37,696648,65306,1842,"Gen Z 18-24, Newsletter Subscribers",Completed
19,Summer Social Push 2025,Social Media,2025-12-10,2026-01-12,59672.02,28297.15,4453188,107749,2967,"Loyalty Members, Desktop Users",Paused
71,Q2 Search Campaign 2023,Search,2025-12-14,2026-01-21,80909.56,11797.29,716306,59169,2000,"Frequent Buyers, Cart Abandoners",Active
1,Year End Search Push 2023,Search,2026-01-21,2026-01-21,85391.03,0.0,0,0,0,Budget Conscious,Planned
17,Labor Day Social Campaign 2024,Social Media,2025-01-21,2025-03-25,11418.29,11826.13,666313,15538,760,"Millennials 25-34, Cart Abandoners, Gen Z 18-24",Completed
36,Product Launch Announcement 2023,Email,2025-02-22,2025-03-10,6036.25,5195.28,490464,27641,1281,Holiday Shoppers,Completed
96,Shopping Ads Campaign 2024,Search,2025-02-14,2025-04-18,90095.24,81880.65,4681235,243482,19108,Weekend Browsers,Completed
47,High Intent Keywords 2025,Search,2025-11-03,2026-01-09,66172.75,45659.55,3637506,109826,5498,"Homeowners, New Customers, Social Followers",Paused
30,Birthday Special Campaign 2024,Email,2025-02-17,2025-04-23,6012.24,5957.89,794546,11610,124,"Gen Z 18-24, Cart Abandoners",Completed
99,Q4 Social Push 2025,Social Media,2026-01-21,2026-01-21,83305.84,0.0,0,0,0,Desktop Users,Planned
8,Programmatic Display 2023,Display,2025-02-27,2025-04-10,25502.04,25363.97,3192876,12868,224,"First-Time Buyers, Premium Shoppers",Completed
7,Product Category Search 2025,Search,2026-01-21,2026-01-21,51744.58,0.0,0,0,0,"Frequent Buyers, Parents",Planned
15,Cross-Network Display 2024,Display,2025-11-04,2026-01-15,77359.53,53696.97,3764217,13237,575,"VIP Customers, Homeowners",Active
62,Prime Day Email Blast 2024,Email,2025-04-16,2025-05-26,4057.59,3810.67,359803,22151,446,VIP Customers,Completed
75,Valentine Search Push 2025,Search,2025-11-06,2026-01-14,3130.34,1968.94,367485,8421,398,"High LTV Customers, Email Engaged, Returning Customers",Active
86,Social Video Ads 2025,Video,2025-11-19,2026-01-05,98656.86,77227.1,6408923,54200,428,Mobile Users,Paused
4,Product Category Search 2023,Search,2025-07-19,2025-10-13,46407.45,48075.35,8809610,278308,11747,"Email Engaged, VIP Customers",Completed
63,User Generated Content 2023,Social Media,2025-05-25,2025-06-22,70375.79,7904.09,907412,17101,838,"Desktop Users, Newsletter Subscribers",Cancelled
48,Remarketing Search 2024,Search,2026-01-21,2026-01-21,15666.12,0.0,0,0,0,"Premium Shoppers, High LTV Customers",Planned
59,Retargeting Display 2024,Display,2026-01-14,2026-01-21,15888.05,0.0,0,0,0,"Loyalty Members, Homeowners, Cart Abandoners",Planned
73,Loyalty Rewards Email 2025,Email,2026-01-21,2026-01-21,2257.07,0.0,0,0,0,"Gen Z 18-24, Holiday Shoppers, Lapsed Customers",Planned
29,Streaming TV Ads 2025,Video,2025-07-29,2025-10-15,47295.58,39153.55,2639129,38508,1058,First-Time Buyers,Completed
58,Fall Newsletter Campaign 2023,Email,2025-03-06,2025-04-03,3177.4,2862.62,162305,9440,288,"Premium Shoppers, Lapsed Customers, Homeowners",Completed
78,Winter Video Campaign 2023,Video,2026-01-21,2026-01-21,53169.44,0.0,0,0,0,"Holiday Shoppers, VIP Customers, Cart Abandoners",Planned
70,Social Video Ads 2024,Video,2024-12-05,2025-03-01,43364.78,37454.37,3326875,29036,1089,,Completed
43,Dynamic Search Ads 2023,Search,2025-05-28,2025-08-02,36274.41,37995.96,3494005,327912,24501,"New Customers, Budget Conscious, Millennials 25-34",Completed
40,Product Display Ads 2025,Display,2025-11-26,2025-12-26,40358.7,36341.33,3299634,21709,711,"High LTV Customers, First-Time Buyers",Paused
50,Product Category Search 2024,Search,2025-11-05,2026-01-21,78784.76,41683.69,2297910,173571,3920,"High LTV Customers, Newsletter Subscribers, Loyalty Members",Active
93,Dynamic Search Ads 2024,Search,2025-07-13,2025-10-04,4018.77,3882.98,268346,17770,887,VIP Customers,Completed
82,Programmatic Display 2024,Display,2025-11-30,2026-01-16,26477.06,4835.04,774937,4556,48,"Cart Abandoners, Homeowners",Cancelled
27,Fall Search Campaign 2023,Search,2025-03-13,2025-04-27,78947.44,77640.86,5681398,283732,16107,"Lapsed Customers, Mobile Users, Weekend Browsers",Completed
35,Q4 Search Campaign 2023,Search,2025-09-06,2025-10-27,54819.96,52080.46,8561338,850007,61898,"Frequent Buyers, Lapsed Customers",Completed
44,Brand Awareness Drive 2024,Social Media,2025-07-27,2025-09-02,39039.11,36025.32,3781534,54634,1505,"Homeowners, Millennials 25-34",Completed
56,Cyber Monday Social Campaign 2023,Social Media,2025-12-04,2026-01-21,29152.36,9335.12,1444796,29387,242,Desktop Users,Paused
83,Social Proof Campaign 2024,Social Media,2025-08-04,2025-09-28,88574.27,82844.69,13637730,166711,5997,"Parents, Loyalty Members, Millennials 25-34",Completed
21,,SMS,2025-11-19,2026-01-14,6755.31,4033.48,215845,21647,523,"VIP Customers, Mobile Users",Paused
46,Memorial Day Email Blast 2025,Email,2025-11-14,2026-01-19,3536.69,1935.05,98296,7113,122,VIP Customers,Active
9,Product Display Ads 2024,Display,2025-11-12,2026-01-21,85183.4,43634.33,3144777,12861,317,"Gen Z 18-24, Email Engaged",Active
39,Dynamic Search Ads 2025,Search,2025-09-12,2025-09-21,97102.55,17737.21,1292646,43866,3122,"Premium Shoppers, Homeowners, Parents",Cancelled
72,Influencer Partnership 2025,Social Media,2025-11-29,2026-01-21,88129.71,25833.27,2182365,22478,664,"Newsletter Subscribers, Social Followers, Premium Shoppers",Active
89,Winter Newsletter Campaign 2023,Email,2025-11-09,2026-01-21,5344.13,2890.6,265897,5121,389,"Email Engaged, Budget Conscious, First-Time Buyers",Active
97,Contextual Targeting 2023,Display,2025-07-13,2025-09-22,17517.02,14088.5,1844287,9614,440,Holiday Shoppers,Completed
90,New Arrivals Newsletter 2023,Email,2025-11-23,2026-01-17,9109.5,5547.67,685032,24195,728,Tech Enthusiasts,Active
13,Product Showcase Social 2025,Social Media,2025-10-29,2026-01-21,91925.07,51526.74,5926115,57448,2644,Parents,Paused
79,Flash Sale Alert 2025,Email,2025-09-06,2025-11-08,5212.29,4379.64,613623,26376,2058,Frequent Buyers,Completed
