campaign_id,campaign_name,campaign_type,start_date,end_date,budget,spent_amount,impressions,clicks,conversions,target_audience,campaign_status
115,Q2 Social Push 2025,Michael Chen,2024-10-31,,81163.6,74623.16,5456903,42735,549,,Completed
306,Valentine Search Push 2025,Emily Rodriguez,2026-01-25,,30568.77,0.0,0,0,0,,Planned
316,Birthday Special Campaign 2025 #316,Michael Chen,2026-01-16,,4866.59,962.19,99344,5373,177,,Cancelled
340,Back to School Banner Ads 2024,Chris Anderson,2024-12-20,,57429.01,50580.08,3907781,36918,524,,Completed
606,Valentine Banner Ads 2023,Michael Chen,2025-01-04,,55935.02,52452.44,2893767,20898,786,,Completed
639,High Intent Keywords 2023 #639,Stephanie Davis,2025-03-25,,55533.35,9627.55,626748,37436,2571,,Cancelled
695,Q2 Social Push 2025 #695,Nicole Taylor,2025-10-05,,41845.5,39041.96,6037649,165242,6433,,Completed
740,Audience Display Campaign 2025 #740,Nicole Taylor,2025-12-11,,17309.95,1467.01,150309,1360,36,,Cancelled
290,Spring Newsletter Campaign 2024,Sarah Johnson,2025-03-15,,4241.05,4153.45,787069,49712,3188,,Completed
327,Community Engagement 2023 #327,Emily Rodriguez,2025-10-19,,79651.32,79923.03,4259504,32634,618,,Completed
385,Q2 Catalog Mailing 2025,Michael Chen,2026-02-27,,37838.29,0.0,0,0,0,,Planned
397,Short Form Video 2025,Jessica Martinez,2025-08-15,,91834.92,77215.66,4873903,64106,716,,Completed
518,Influencer Partnership 2025 #518,Andrew Thompson,2024-12-20,,99231.68,10354.88,696754,8062,320,,Cancelled
622,Year End Direct Mail 2024,Andrew Thompson,2026-03-01,,8251.15,0.0,0,0,0,,Planned
849,Brand Awareness Drive 2024 #849,Jessica Martinez,2024-12-19,,69818.09,68883.79,3860488,107614,1274,,Completed
193,Weekly Deals Newsletter 2023,Michael Chen,2025-07-19,,699.62,37.79,3024,125,7,,Cancelled
440,High Intent Keywords 2025 #440,Brian Wilson,2025-10-31,,81801.56,62042.74,5402056,475685,12210,,Active
537,Q1 Search Campaign 2025,Andrew Thompson,2025-07-17,,14785.8,12157.8,919245,42680,3063,,Completed
309,Fall Newsletter Campaign 2023,David Kim,2025-01-23,,995.67,984.85,66745,2431,62,,Completed
391,Memorial Day Banner Ads 2025,David Kim,2025-08-24,,84556.48,78799.35,4755231,34928,1349,,Completed
430,,Jessica Martinez,2026-02-23,,3357.74,0.0,0,0,0,,Planned
573,Spring Social Push 2023 #573,Nicole Taylor,2026-01-05,,79099.94,0.0,0,0,0,,Planned
844,Product Category Search 2025 #844,Rachel Green,2025-11-14,,66159.88,27394.83,1415427,100486,7847,,Paused
853,Black Friday Video Push 2025,Michael Chen,2025-11-17,,50191.92,25180.97,2257019,28725,652,,Active
985,Valentine Search Push 2024 #985,Sarah Johnson,2025-04-21,,51813.87,50925.89,2933616,94504,2657,,Completed
114,Trending Topic Campaign 2023,Rachel Green,2025-06-07,,87812.28,90153.59,10204789,90708,2294,,Completed
129,Event Reminder SMS 2025,James Miller,2026-02-05,,3886.12,0.0,0,0,0,,Planned
538,Brand Awareness Drive 2025 #538,Jessica Martinez,2025-01-03,,94319.73,84666.71,10728184,170960,3411,,Completed
701,Brand Awareness Drive 2024 #701,David Kim,2025-11-24,,43414.46,14963.23,1235672,35582,779,,Active
