review_ref,product_ref,customer_ref,star_rating,review_headline,review_content,submitted_date,helpful_count,image_count,reviewer_name,verified_purchase,moderation_status,total_votes,seller_response,review_language,submission_device,review_date_only
1,3711,3936,5,Love it!,I've been using this for weeks now and I'm absolutely thrilled with it. Highly recommended!,2024-11-22T13:57:15Z,1,3,A Verified Reviewer,True,Approved,3,We appreciate your review and are happy you had a positive experience.,fr,Mobile Web,2024-11-22
2,4224,2005,5,Worth every penny,Top-notch quality and great value for money. Would definitely purchase from this brand again.,2024-01-13T00:00:00Z,3,0,A Customer,False,Approved,4,,en,Tablet,2024-01-13
3,4746,3862,5,Outstanding!,This product exceeded all my expectations. The quality is outstanding and it works perfectly.,2023-05-25T19:37:24Z,0,0,A Verified Reviewer,True,Approved,0,Thank you for your kind words! We hope to serve you again soon.,en,Mobile Web,2023-05-25
4,1488,7325,5,Perfect!,Best purchase I've made in a long time. The build quality is excellent and it arrived quickly.,2025-11-04T22:40:04Z,0,0,Verified Buyer,True,Approved,0,We appreciate your review and are happy you had a positive experience.,en,Tablet,2025-11-04
5,1874,17,2,Would not recommend,Disappointed with this purchase. The quality is not as good as advertised.,2016-12-14T00:57:52Z,8,0,Verified Purchaser,True,Approved,10,,en,Tablet,2016-12-14
6,3771,1124,1,Total failure,Terrible quality. Broke immediately and the company won't refund my purchase.,2017-11-08T03:06:19Z,6,1,Verified Buyer,True,Approved,10,We appreciate your review and are happy you had a positive experience.,fr,Tablet,2017-11-08
7,1992,3594,3,It's okay,Middle of the road product. Not bad but not great either. Fair value.,2021-02-27T14:57:29Z,0,1,Verified Purchaser,True,Pending,0,,en,Desktop,2021-02-27
8,495,3291,4,Happy with purchase,Happy with this purchase. It works well and the quality is good for the price.,2016-07-19T18:51:13Z,0,0,Customer 3291,True,Approved,0,Thank you for your feedback! We're glad you enjoyed the product.,en,iOS App,2016-07-19
9,1623,7565,4,Good quality,Good value for money. Does what I needed it to do. Would consider buying again.,2024-08-24T11:49:18Z,0,0,A Verified Reviewer,True,Approved,0,,pt,iOS App,2024-08-24
10,2839,1091,4,Good quality,Happy with this purchase. It works well and the quality is good for the price.,2025-02-08T21:15:54Z,0,0,Verified Purchaser,True,Approved,1,,en,Desktop,2025-02-08
11,2415,7638,3,Decent quality,Middle of the road product. Not bad but not great either. Fair value.,2023-05-19T15:41:23Z,7,3,Verified Purchaser,True,Approved,10,,en,iOS App,2023-05-19
12,958,5438,5,Worth every penny,Fantastic product! It does exactly what it promises and more. Very happy customer here.,2024-09-23T00:00:00Z,3,0,User 5438,False,Flagged,4,,es,Desktop,2024-09-23
13,2557,4663,5,Exceeded expectations,Top-notch quality and great value for money. Would definitely purchase from this brand again.,2024-02-21T00:00:00Z,0,4,A Customer,False,Approved,0,,en,Mobile Web,2024-02-21
14,3890,4265,3,Decent quality,Meets basic expectations but doesn't stand out. You get what you pay for.,2024-10-14T00:00:00Z,0,0,User 4265,False,Approved,1,,en,Mobile Web,2024-10-14
15,3604,3367,1,Total failure,Do not buy! This is a scam product. I want my money back immediately.,2024-12-15T16:48:29Z,0,1,Customer 3367,True,Approved,0,,en,iOS App,2024-12-15
