cat_id,cat_name,sub_cat,display_sequence,url_slug,active_flag,date_created,category_desc,hierarchy_level,product_count,breadcrumb_path,parent_cat_id
1,Electronics,,10,electronics,True,2015-01-12T00:00:00Z,"Discover the latest electronic devices, gadgets, and accessories for your digital lifestyle.",0,1380,Electronics,
2,Clothing,,20,clothing,True,2015-01-28T00:00:00Z,"Explore our wide range of fashionable apparel for men, women, and children.",0,1167,Clothing,
3,Home & Garden,,30,home-and-garden,True,2015-01-28T00:00:00Z,"Transform your living spaces with our home decor, furniture, and gardening essentials.",0,876,Home & Garden,
4,Sports & Outdoors,,40,sports-and-outdoors,True,2015-01-25T00:00:00Z,Gear up for adventure with our sporting equipment and outdoor recreation products.,0,1027,Sports & Outdoors,
5,Beauty & Personal Care,,50,beauty-and-personal-care,True,2015-01-03T00:00:00Z,"Enhance your natural beauty with premium skincare, cosmetics, and personal care items.",0,586,Beauty & Personal Care,
6,Books & Media,,60,books-and-media,True,2015-01-10T00:00:00Z,"Dive into our collection of books, music, movies, and digital entertainment.",0,665,Books & Media,
7,Toys & Games,,70,toys-and-games,True,2015-01-23T00:00:00Z,"Find the perfect toys, games, and entertainment for kids of all ages.",0,891,Toys & Games,
8,Food & Grocery,,80,food-and-grocery,True,2015-01-20T00:00:00Z,"Stock your pantry with quality groceries, gourmet foods, and everyday essentials.",0,738,Food & Grocery,
9,Automotive,,90,automotive,True,2015-01-09T00:00:00Z,Keep your vehicle running smoothly with our automotive parts and accessories.,0,867,Automotive,
10,Health & Wellness,,100,health-and-wellness,True,2015-01-27T00:00:00Z,"Support your wellbeing with vitamins, supplements, and health monitoring devices.",0,747,Health & Wellness,
11,Smartphones,,10,smartphones,True,2015-01-26T00:00:00Z,Browse the newest smartphones from top brands with cutting-edge features.,1,235,Electronics > Smartphones,1.0
12,Laptops,,20,laptops,True,2015-02-28T00:00:00Z,"Find powerful laptops for work, gaming, and everyday computing needs.",1,413,Electronics > Laptops,1.0
13,Audio Equipment,Featured,30,audio-equipment,True,2015-03-01T00:00:00Z,"Experience superior sound quality with our headphones, speakers, and audio gear.",1,290,Electronics > Audio Equipment,1.0
14,Cameras,Clearance,40,cameras,True,2015-02-03T00:00:00Z,Capture lifes moments with professional and consumer cameras and accessories.,1,184,Electronics > Cameras,1.0
15,Wearable Technology,,50,wearable-technology,True,2015-01-17T00:00:00Z,"Stay connected with smartwatches, fitness trackers, and wearable devices.",1,85,Electronics > Wearable Technology,1.0
16,Gaming,Bestseller,60,gaming,True,2015-02-25T00:00:00Z,"Level up your gaming experience with consoles, accessories, and peripherals.",1,151,Electronics > Gaming,1.0
17,Mens Clothing,Seasonal,10,mens-clothing,True,2015-02-27T00:00:00Z,Stylish and comfortable clothing options for the modern man.,1,228,Clothing > Mens Clothing,2.0
18,Womens Clothing,,20,womens-clothing,True,2015-01-31T00:00:00Z,Fashionable apparel and accessories for women of all styles.,1,383,Clothing > Womens Clothing,2.0
19,Kids Clothing,,30,kids-clothing,True,2015-03-05T00:00:00Z,Durable and adorable clothing for children and toddlers.,1,220,Clothing > Kids Clothing,2.0
20,Footwear,,40,footwear,True,2015-03-08T00:00:00Z,"Step out in style with our collection of shoes, boots, and sandals.",1,200,Clothing > Footwear,2.0
21,Accessories,,50,accessories,True,2015-03-25T00:00:00Z,"Complete your look with belts, hats, scarves, and jewelry.",1,125,Clothing > Accessories,2.0
