review_ref,product_ref,customer_ref,star_rating,review_headline,review_content,submitted_date,helpful_count,image_count,reviewer_name,verified_purchase,moderation_status,total_votes,seller_response,review_language,submission_device,review_date_only
1,449,280,4,Nice product,Happy with this purchase. It works well and the quality is good for the price.,2017-10-18T10:27:55Z,10,0,A Verified Reviewer,True,Approved,20,,en,iOS App,2017-10-18
2,431,16,4,Nice product,Happy with this purchase. It works well and the quality is good for the price.,2024-08-17T00:00:00Z,0,0,A Customer,False,Flagged,0,,en,Android App,2024-08-17
3,246,476,4,Good quality,Solid product that delivers on its promises. Shipping was fast and packaging was good.,2025-02-19T15:11:51Z,3,1,Verified Purchaser,True,Approved,5,,en,Tablet,2025-02-19
4,486,427,4,Nice product,Happy with this purchase. It works well and the quality is good for the price.,2025-05-16T00:00:00Z,12,0,Registered User,False,Approved,15,Thank you for your feedback! We're glad you enjoyed the product.,en,iOS App,2025-05-16
5,157,485,5,Outstanding!,I've been using this for weeks now and I'm absolutely thrilled with it. Highly recommended!,2025-11-24T00:00:00Z,0,0,User 485,False,Approved,0,,en,Tablet,2025-11-24
6,484,344,5,Worth every penny,Fantastic product! It does exactly what it promises and more. Very happy customer here.,2025-10-15T00:00:00Z,0,0,Registered User,False,Approved,1,,en,Desktop,2025-10-15
7,189,200,5,Exceeded expectations,Top-notch quality and great value for money. Would definitely purchase from this brand again.,2024-08-03T14:59:22Z,2,0,Verified Purchaser,True,Approved,3,We appreciate your review and are happy you had a positive experience.,en,iOS App,2024-08-03
8,293,187,5,Couldn't be happier,This product exceeded all my expectations. The quality is outstanding and it works perfectly.,2024-05-27T14:33:36Z,0,2,Verified Customer,True,Approved,0,Thank you for your feedback! We're glad you enjoyed the product.,en,iOS App,2024-05-27
9,48,282,4,Very satisfied,Good value for money. Does what I needed it to do. Would consider buying again.,2025-12-04T20:49:43Z,2,0,Verified Customer,True,Approved,4,,de,Android App,2025-12-04
10,289,430,5,Amazing quality,This product exceeded all my expectations. The quality is outstanding and it works perfectly.,2024-08-29T00:00:00Z,0,0,Member 430,False,Approved,0,We appreciate your honest feedback and will use it to improve our products.,fr,Desktop,2024-08-29
11,233,349,4,Great product,Solid product that delivers on its promises. Shipping was fast and packaging was good.,2024-08-19T18:30:28Z,2,0,Verified Customer,True,Approved,4,Thank you for taking the time to share your thoughts with us.,en,Tablet,2024-08-19
12,280,12,3,Average product,It works but I expected a bit more based on the description. Okay overall.,2018-01-26T14:08:46Z,0,0,Verified Buyer,True,Approved,0,,en,iOS App,2018-01-26
13,494,116,5,Worth every penny,Best purchase I've made in a long time. The build quality is excellent and it arrived quickly.,2025-10-27T15:55:17Z,0,0,A Verified Reviewer,True,Pending,1,,de,Android App,2025-10-27
14,36,151,5,Outstanding!,Best purchase I've made in a long time. The build quality is excellent and it arrived quickly.,2024-04-07T00:00:00Z,1,0,Shopper,False,Approved,2,,en,Android App,2024-04-07
15,278,436,4,Good quality,Good value for money. Does what I needed it to do. Would consider buying again.,2025-04-23T00:00:00Z,4,1,A Customer,False,Approved,5,,es,iOS App,2025-04-23
16,110,345,2,Could be better,Disappointed with this purchase. The quality is not as good as advertised.,2024-01-31T00:00:00Z,1,0,User 345,False,Approved,3,,en,Android App,2024-01-31
17,189,200,4,Very satisfied,Solid product that delivers on its promises. Shipping was fast and packaging was good.,2024-08-30T14:59:22Z,0,1,Verified Buyer,True,Approved,1,,en,Desktop,2024-08-30
18,92,200,4,Would buy again,Really good product overall. A few minor issues but nothing major. Would recommend.,2024-07-19T14:59:22Z,1,1,Verified Purchaser,True,Approved,3,,en,Tablet,2024-07-19
19,349,280,4,Very satisfied,Happy with this purchase. It works well and the quality is good for the price.,2017-10-12T10:27:55Z,7,0,Verified Buyer,True,Approved,10,,en,iOS App,2017-10-12
20,497,452,4,Nice product,Solid product that delivers on its promises. Shipping was fast and packaging was good.,2025-02-20T17:44:16Z,1,0,A Verified Reviewer,True,Approved,2,,en,iOS App,2025-02-20
21,92,200,4,Nice product,Solid product that delivers on its promises. Shipping was fast and packaging was good.,2024-08-18T14:59:22Z,0,0,A Verified Reviewer,True,Approved,0,,en,iOS App,2024-08-18
22,188,211,5,Perfect!,Fantastic product! It does exactly what it promises and more. Very happy customer here.,2024-02-11T00:00:00Z,3,0,Shopper,False,Approved,5,Thank you for your feedback! We're glad you enjoyed the product.,pt,iOS App,2024-02-11
23,45,291,3,It's okay,Decent product for the price point. Some features could be improved.,2021-12-16T11:36:02Z,0,0,Verified Buyer,True,Approved,1,,en,iOS App,2021-12-16
24,248,105,5,Highly recommend!,I've been using this for weeks now and I'm absolutely thrilled with it. Highly recommended!,2025-02-13T08:50:29Z,1,0,Verified Buyer,True,Approved,3,,en,iOS App,2025-02-13
25,219,150,3,Does the job,Middle of the road product. Not bad but not great either. Fair value.,2023-12-04T07:29:49Z,1,2,Customer 150,True,Approved,3,,en,Android App,2023-12-04
26,73,427,5,Highly recommend!,Top-notch quality and great value for money. Would definitely purchase from this brand again.,2024-11-28T00:00:00Z,0,0,Registered User,False,Approved,0,,en,Desktop,2024-11-28
27,148,77,5,Worth every penny,I've been using this for weeks now and I'm absolutely thrilled with it. Highly recommended!,2024-10-12T02:32:24Z,1,0,Customer 77,True,Approved,2,,es,Mobile Web,2024-10-12
28,404,372,4,Solid choice,Really good product overall. A few minor issues but nothing major. Would recommend.,2024-10-13T00:00:00Z,1,1,Member 372,False,Approved,2,Thank you for taking the time to share your thoughts with us.,en,Desktop,2024-10-13
29,387,52,5,Exceeded expectations,Best purchase I've made in a long time. The build quality is excellent and it arrived quickly.,2025-05-14T00:00:00Z,0,0,User 52,False,Approved,0,,en,Tablet,2025-05-14
30,410,2,5,Highly recommend!,Fantastic product! It does exactly what it promises and more. Very happy customer here.,2025-04-04T00:00:00Z,1,0,User 2,False,Approved,2,,en,iOS App,2025-04-04
31,395,206,5,Exceeded expectations,Top-notch quality and great value for money. Would definitely purchase from this brand again.,2024-12-11T08:48:26Z,1,0,Verified Customer,True,Approved,2,,en,iOS App,2024-12-11
32,422,272,3,Decent quality,Decent product for the price point. Some features could be improved.,2024-05-11T00:00:00Z,3,0,User 272,False,Approved,5,,en,Desktop,2024-05-11
