campaign_id,campaign_name,start_date,budget,spent_amount,impressions,clicks,conversions,campaign_status,campaign_type,end_date,target_audience
1,Competitor Conquest 2024,2025-10-27,22145.91,12490.74,1083833.0,90760.0,6646.0,Active,Nicole Taylor,,
2,Q3 Catalog Mailing 2023,2025-12-06,36667.24,6726.87,NaN,NaN,NaN,Paused,Nicole Taylor,,
3,Flash Sale Alert 2023,2025-09-06,8960.8,8484.94,754601.0,8918.0,289.0,Completed,Laura Garcia,,
4,High Intent Keywords 2023,2025-03-06,75255.54,60583.11,8026033.0,746297.0,36505.0,Completed,Stephanie Davis,,
5,Community Engagement 2024,2025-01-09,46217.71,6616.01,524366.0,15350.0,276.0,Cancelled,Andrew Thompson,,
6,Shopping Ads Campaign 2024,2025-10-16,42905.51,38585.91,1944970.0,143524.0,12439.0,Completed,David Kim,,
7,Local Search Campaign 2025,2025-12-02,55052.53,15568.85,1318391.0,77063.0,5200.0,Active,Michael Chen,,
8,Short Form Video 2024,2025-01-30,56510.86,57290.9,3937368.0,97638.0,4738.0,Completed,Jessica Martinez,,
9,Customer Win-Back Email 2024,2025-08-15,868.03,826.62,48041.0,1691.0,126.0,Completed,Nicole Taylor,,
10,User Generated Content 2024,2025-11-17,98034.84,49240.59,2698889.0,32327.0,185.0,Active,David Kim,,
11,Social Contest Campaign 2025,2024-12-11,78097.35,73209.85,5342596.0,105374.0,3601.0,Completed,Jessica Martinez,,
12,Local Search Campaign 2023,2026-01-31,21962.12,0.0,0.0,0.0,0.0,Planned,Chris Anderson,,
13,Streaming TV Ads 2024,2025-10-15,3371.86,2987.93,199380.0,4713.0,103.0,Completed,David Kim,,
14,Product Category Search 2024,2025-01-24,18583.76,18959.13,1195097.0,64030.0,5564.0,Completed,Amanda Lee,,
15,Holiday Social Campaign 2024,2025-09-29,55690.09,45689.82,3403608.0,64163.0,846.0,Completed,Michael Chen,,
16,Fall Search Campaign 2023,2025-02-16,25606.52,23780.0,1303554.0,38087.0,2601.0,Completed,Nicole Taylor,,
17,Product Category Search 2025,2026-01-13,8298.81,0.0,0.0,0.0,0.0,Planned,Michael Chen,,
18,Flash Sale Alert 2025,2026-02-18,8382.43,0.0,0.0,0.0,0.0,Planned,Emily Rodriguez,,
19,Product Category Search 2023,2025-04-13,55381.96,49148.67,3574237.0,112022.0,3268.0,Completed,Brian Wilson,,
20,Brand Story Video 2025,2025-12-10,78226.3,11893.21,656792.0,15573.0,247.0,Paused,Brian Wilson,,
21,Product Showcase Social 2025,2025-08-03,63828.04,60197.22,4945154.0,65307.0,1084.0,Completed,Stephanie Davis,,
22,Community Engagement 2023,2025-01-10,17554.43,15574.47,2433178.0,19798.0,432.0,Completed,Sarah Johnson,,
23,Programmatic Display 2024,2025-03-10,71205.04,73926.33,8864661.0,84978.0,3520.0,Completed,Rachel Green,,
24,Dynamic Search Ads 2025,2025-11-17,63410.35,53220.26,3729067.0,225468.0,8670.0,Active,Stephanie Davis,,
25,Social Proof Campaign 2023,2025-11-05,65682.58,47163.86,2780431.0,14696.0,567.0,Active,Kevin Brown,,
26,Anniversary Mailing 2023,2025-11-02,28551.35,21826.25,NaN,NaN,NaN,Active,James Miller,,
27,Cyber Monday Banner Ads 2023,2025-10-12,96163.45,95442.98,11046025.0,54808.0,1474.0,Completed,Chris Anderson,,
28,YouTube Pre-Roll 2024,2025-03-28,77371.86,6795.73,687679.0,13776.0,672.0,Cancelled,Stephanie Davis,,
