campaign_ref,campaign_title,channel_type,launch_date,completion_date,allocated_budget,current_spend,total_impressions,total_clicks,conversion_count,conversion_rate,ctr_rate,avg_cpc,roi_percentage,campaign_status,target_segment,campaign_manager,ad_platform,test_variant,created_timestamp
1,Competitor Conquest 2024,Search,2025-10-27,2026-02-03,22145.91,12490.74,1083833.0,90760.0,6646.0,7.32,8.37,0.14,1000.0,Active,"Loyalty Members, Returning Customers",Nicole Taylor,Google Ads,,2025-10-13T00:00:00Z
2,Q3 Catalog Mailing 2023,Direct Mail,2025-12-06,2026-03-23,36667.24,6726.87,,,,,,,,Paused,Tech Enthusiasts,Nicole Taylor,,Variant B,2025-11-08T00:00:00Z
3,Flash Sale Alert 2023,Email,2025-09-06,2025-10-28,8960.8,8484.94,754601.0,8918.0,289.0,3.24,1.18,0.95,476.24,Completed,Weekend Browsers,Laura Garcia,,,2025-08-09T00:00:00Z
4,High Intent Keywords 2023,Search,2025-03-06,2025-04-15,75255.54,60583.11,8026033.0,746297.0,36505.0,4.89,9.3,0.08,1000.0,Completed,"Homeowners, Fashion Forward",Stephanie Davis,Google Ads,Variant A,2025-02-16T00:00:00Z
5,Community Engagement 2024,Social Media,2025-01-09,2025-01-25,46217.71,6616.01,524366.0,15350.0,276.0,1.8,2.93,0.43,,Cancelled,Holiday Shoppers,Andrew Thompson,Instagram,,2024-12-27T00:00:00Z
6,Shopping Ads Campaign 2024,Search,2025-10-16,2025-12-10,42905.51,38585.91,1944970.0,143524.0,12439.0,8.67,7.38,0.27,1000.0,Completed,High LTV Customers,David Kim,Google Ads,,2025-09-25T00:00:00Z
7,Local Search Campaign 2025,Search,2025-12-02,2026-02-28,55052.53,15568.85,1318391.0,77063.0,5200.0,6.75,5.85,0.2,1000.0,Active,"Homeowners, Cart Abandoners, Millennials 25-34",Michael Chen,Google Ads,,2025-11-02T00:00:00Z
8,Short Form Video 2024,Video,2025-01-30,2025-04-19,56510.86,57290.9,3937368.0,97638.0,4738.0,4.85,2.48,0.59,1000.0,Completed,Budget Conscious,Jessica Martinez,Meta Ads,,2025-01-05T00:00:00Z
9,Customer Win-Back Email 2024,Email,2025-08-15,2025-09-12,868.03,826.62,48041.0,1691.0,126.0,7.45,3.52,0.49,1000.0,Completed,Premium Shoppers,Nicole Taylor,,Variant B,2025-08-12T00:00:00Z
10,User Generated Content 2024,Social Media,2025-11-17,2026-02-04,98034.84,49240.59,2698889.0,32327.0,185.0,0.57,1.2,1.52,-78.23,Active,Newsletter Subscribers,David Kim,Meta Ads,,2025-10-28T00:00:00Z
11,Social Contest Campaign 2025,Social Media,2024-12-11,2025-01-11,78097.35,73209.85,5342596.0,105374.0,3601.0,3.42,1.97,0.69,1000.0,Completed,"First-Time Buyers, Homeowners",Jessica Martinez,TikTok,,2024-11-27T00:00:00Z
12,Local Search Campaign 2023,Search,2026-01-31,2026-04-06,21962.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Planned,"Desktop Users, Returning Customers",Chris Anderson,Google Ads,,2026-01-28T00:00:00Z
